"Strategies","left","rope","right"
"BR-SVMt x MBR-SVMt",0,0.92,0.08
"BR-SVMt x MBR-XGB",0.26,0.29,0.45
"BR-SVMt x NS-SVMt",0,1,0
"BR-SVMt x NS-XGB",0.44,0.31,0.25
"BR-SVMt x PruDent-SVMt",0,1,0
"BR-SVMt x PruDent-XGB",0.28,0.22,0.5
"BR-SVMt x RDBR-SVMt",0,0.24,0.76
"BR-SVMt x RDBR-XGB",0.23,0.18,0.58
"BR-XGB x BR+-XGB",0,1,0
"BR-XGB x CC-XGB",0.27,0.72,0.01
"BR-XGB x DBR-XGB",0,1,0
"BR-XGB x EBR-XGB",0,0,1
"BR-XGB x ECC-XGB",0,0,1
"BR-XGB x MBR-XGB",0,1,0
"BR-XGB x NS-XGB",0.03,0.97,0
"BR-XGB x PruDent-XGB",0,1,0
"BR-XGB x RDBR-XGB",0,1,0
"BR+-C5.0 x BR-LR",0,0,1
"BR+-C5.0 x BR-RF",0,0,1
"BR+-C5.0 x BR-SVM",0,0,1
"BR+-C5.0 x BR-SVMt",0,0,1
"BR+-C5.0 x BR-XGB",0,0,1
"BR+-C5.0 x BR+-LR",0,0,1
"BR+-C5.0 x BR+-RF",0,0,1
"BR+-C5.0 x BR+-SVM",0,0,1
"BR+-C5.0 x BR+-SVMt",0,0,1
"BR+-C5.0 x BR+-XGB",0,0,1
"BR+-C5.0 x CC-C5.0",0,1,0
"BR+-C5.0 x CC-LR",0,0,1
"BR+-C5.0 x CC-RF",0,0,1
"BR+-C5.0 x CC-SVM",0,0,1
"BR+-C5.0 x CC-SVMt",0,0,1
"BR+-C5.0 x CC-XGB",0,0,1
"BR+-C5.0 x DBR-C5.0",0,1,0
"BR+-C5.0 x DBR-LR",0,0,1
"BR+-C5.0 x DBR-RF",0,0,1
"BR+-C5.0 x DBR-SVM",0,0,1
"BR+-C5.0 x DBR-SVMt",0,0,1
"BR+-C5.0 x DBR-XGB",0,0,1
"BR+-C5.0 x EBR-C5.0",0,0,1
"BR+-C5.0 x EBR-LR",0,0,1
"BR+-C5.0 x EBR-RF",0,0,1
"BR+-C5.0 x EBR-SVM",0,0,1
"BR+-C5.0 x EBR-SVMt",0,0,1
"BR+-C5.0 x EBR-XGB",0,0,1
"BR+-C5.0 x ECC-C5.0",0,0,1
"BR+-C5.0 x ECC-LR",0,0,1
"BR+-C5.0 x ECC-RF",0,0,1
