"Strategies","left","rope","right"
"DBR-C5.0 x DBR-SVMt",0,0,1
"DBR-C5.0 x EBR-SVMt",0.02,0,0.98
"DBR-C5.0 x ECC-SVMt",0.01,0,0.99
"DBR-C5.0 x MBR-SVMt",0,0,1
"DBR-C5.0 x NS-SVMt",0,0,1
"DBR-C5.0 x PruDent-SVMt",0,0,1
"DBR-C5.0 x RDBR-SVMt",0,0,1
"DBR-C5.0 x BR-XGB",0,0,1
"DBR-C5.0 x BR+-XGB",0,0,1
"DBR-C5.0 x CC-XGB",0,0,1
"DBR-C5.0 x DBR-XGB",0,0,1
"DBR-C5.0 x EBR-XGB",0,0,1
"DBR-C5.0 x ECC-XGB",0,0,1
"DBR-C5.0 x MBR-XGB",0,0,1
"DBR-C5.0 x NS-XGB",0,0,1
"DBR-C5.0 x PruDent-XGB",0,0,1
"DBR-C5.0 x RDBR-XGB",0,0,1
"EBR-C5.0 x ECC-C5.0",0,1,0
"EBR-C5.0 x MBR-C5.0",1,0,0
"EBR-C5.0 x NS-C5.0",0.98,0,0.02
"EBR-C5.0 x PruDent-C5.0",1,0,0
"EBR-C5.0 x RDBR-C5.0",1,0,0
"EBR-C5.0 x BR-LR",0,0,1
"EBR-C5.0 x BR+-LR",0,0,1
"EBR-C5.0 x CC-LR",0,0,1
"EBR-C5.0 x DBR-LR",0,0,1
"EBR-C5.0 x EBR-LR",0.85,0,0.15
"EBR-C5.0 x ECC-LR",0.8,0.01,0.2
"EBR-C5.0 x MBR-LR",0,0,1
"EBR-C5.0 x NS-LR",0,0,1
"EBR-C5.0 x PruDent-LR",0.42,0,0.58
"EBR-C5.0 x RDBR-LR",0,0,1
"EBR-C5.0 x BR-RF",0,0,1
"EBR-C5.0 x BR+-RF",0,0,1
"EBR-C5.0 x CC-RF",0,0,1
"EBR-C5.0 x DBR-RF",0,0,1
"EBR-C5.0 x EBR-RF",1,0,0
"EBR-C5.0 x ECC-RF",1,0,0
"EBR-C5.0 x MBR-RF",0,0,1
"EBR-C5.0 x NS-RF",0,0,1
"EBR-C5.0 x PruDent-RF",0,0,1
"EBR-C5.0 x RDBR-RF",0,0,1
"EBR-C5.0 x BR-SVM",0,0,1
"EBR-C5.0 x BR+-SVM",0,0,1
"EBR-C5.0 x CC-SVM",0,0,1
"EBR-C5.0 x DBR-SVM",0,0,1
"EBR-C5.0 x EBR-SVM",0.95,0,0.05
"EBR-C5.0 x ECC-SVM",0.92,0,0.08
"EBR-C5.0 x MBR-SVM",0,0,1
"EBR-C5.0 x NS-SVM",0,0,1
"EBR-C5.0 x PruDent-SVM",0,0,1
"EBR-C5.0 x RDBR-SVM",0,0,1
"EBR-C5.0 x BR-SVMt",0,0,1
"EBR-C5.0 x BR+-SVMt",0,0,1
"EBR-C5.0 x CC-SVMt",0,0,1
"EBR-C5.0 x DBR-SVMt",0,0,1
"EBR-C5.0 x EBR-SVMt",0.9,0.02,0.08
"EBR-C5.0 x ECC-SVMt",0.72,0.09,0.19
"EBR-C5.0 x MBR-SVMt",0.01,0,0.99
"EBR-C5.0 x NS-SVMt",0,0,1
"EBR-C5.0 x PruDent-SVMt",0,0,1
"EBR-C5.0 x RDBR-SVMt",0,0,1
"EBR-C5.0 x BR-XGB",0,0,1
"EBR-C5.0 x BR+-XGB",0,0,1
"EBR-C5.0 x CC-XGB",0,0,1
"EBR-C5.0 x DBR-XGB",0,0,1
"EBR-C5.0 x EBR-XGB",0.39,0.15,0.46
"EBR-C5.0 x ECC-XGB",0.24,0.27,0.5
"EBR-C5.0 x MBR-XGB",0.17,0.01,0.82
"EBR-C5.0 x NS-XGB",0,0,1
"EBR-C5.0 x PruDent-XGB",0,0,1
"EBR-C5.0 x RDBR-XGB",0,0,1
"ECC-C5.0 x MBR-C5.0",1,0,0
"ECC-C5.0 x NS-C5.0",0.99,0,0.01
"ECC-C5.0 x PruDent-C5.0",1,0,0
"ECC-C5.0 x RDBR-C5.0",1,0,0
"ECC-C5.0 x BR-LR",0,0,1
"ECC-C5.0 x BR+-LR",0,0,1
"ECC-C5.0 x CC-LR",0,0,1
"ECC-C5.0 x DBR-LR",0,0,1
"ECC-C5.0 x EBR-LR",0.89,0,0.1
"ECC-C5.0 x ECC-LR",0.83,0,0.17
"ECC-C5.0 x MBR-LR",0,0,1
"ECC-C5.0 x NS-LR",0,0,1
"ECC-C5.0 x PruDent-LR",0.46,0,0.54
"ECC-C5.0 x RDBR-LR",0,0,1
"ECC-C5.0 x BR-RF",0,0,1
"ECC-C5.0 x BR+-RF",0,0,1
"ECC-C5.0 x CC-RF",0,0,1
"ECC-C5.0 x DBR-RF",0,0,1
"ECC-C5.0 x EBR-RF",1,0,0
"ECC-C5.0 x ECC-RF",1,0,0
"ECC-C5.0 x MBR-RF",0,0,1
"ECC-C5.0 x NS-RF",0,0,1
"ECC-C5.0 x PruDent-RF",0,0,1
"ECC-C5.0 x RDBR-RF",0,0,1
"ECC-C5.0 x BR-SVM",0,0,1
"ECC-C5.0 x BR+-SVM",0,0,1
"ECC-C5.0 x CC-SVM",0,0,1
"ECC-C5.0 x DBR-SVM",0,0,1
"ECC-C5.0 x EBR-SVM",0.96,0,0.04
"ECC-C5.0 x ECC-SVM",0.93,0,0.06
"ECC-C5.0 x MBR-SVM",0,0,1
"ECC-C5.0 x NS-SVM",0,0,1
"ECC-C5.0 x PruDent-SVM",0,0,1
"ECC-C5.0 x RDBR-SVM",0,0,1
"ECC-C5.0 x BR-SVMt",0,0,1
"ECC-C5.0 x BR+-SVMt",0,0,1
"ECC-C5.0 x CC-SVMt",0,0,1
"ECC-C5.0 x DBR-SVMt",0,0,1
"ECC-C5.0 x EBR-SVMt",0.92,0.02,0.07
"ECC-C5.0 x ECC-SVMt",0.74,0.1,0.17
"ECC-C5.0 x MBR-SVMt",0,0,0.99
"ECC-C5.0 x NS-SVMt",0,0,1
"ECC-C5.0 x PruDent-SVMt",0,0,1
"ECC-C5.0 x RDBR-SVMt",0,0,1
"ECC-C5.0 x BR-XGB",0,0,1
"ECC-C5.0 x BR+-XGB",0,0,1
"ECC-C5.0 x CC-XGB",0,0,1
"ECC-C5.0 x DBR-XGB",0,0,1
"ECC-C5.0 x EBR-XGB",0.43,0.19,0.38
"ECC-C5.0 x ECC-XGB",0.25,0.25,0.5
"ECC-C5.0 x MBR-XGB",0.16,0.01,0.83
"ECC-C5.0 x NS-XGB",0,0,1
"ECC-C5.0 x PruDent-XGB",0,0,1
"ECC-C5.0 x RDBR-XGB",0,0,1
"MBR-C5.0 x NS-C5.0",0,0.62,0.38
"MBR-C5.0 x PruDent-C5.0",0.05,0.07,0.89
"MBR-C5.0 x RDBR-C5.0",0.84,0.01,0.15
"MBR-C5.0 x BR-LR",0,0,1
"MBR-C5.0 x BR+-LR",0,0,1
"MBR-C5.0 x CC-LR",0,0,1
"MBR-C5.0 x DBR-LR",0,0,1
"MBR-C5.0 x EBR-LR",0.07,0,0.93
"MBR-C5.0 x ECC-LR",0.05,0,0.95
"MBR-C5.0 x MBR-LR",0,0,1
"MBR-C5.0 x NS-LR",0,0,1
"MBR-C5.0 x PruDent-LR",0.01,0,0.99
"MBR-C5.0 x RDBR-LR",0,0,1
"MBR-C5.0 x BR-RF",0,0,1
"MBR-C5.0 x BR+-RF",0,0,1
"MBR-C5.0 x CC-RF",0,0,1
"MBR-C5.0 x DBR-RF",0,0,1
"MBR-C5.0 x EBR-RF",0.36,0,0.64
"MBR-C5.0 x ECC-RF",0.32,0,0.68
"MBR-C5.0 x MBR-RF",0,0,1
"MBR-C5.0 x NS-RF",0,0,1
"MBR-C5.0 x PruDent-RF",0,0,1
"MBR-C5.0 x RDBR-RF",0,0,1
"MBR-C5.0 x BR-SVM",0,0,1
"MBR-C5.0 x BR+-SVM",0,0,1
"MBR-C5.0 x CC-SVM",0,0,1
"MBR-C5.0 x DBR-SVM",0,0,1
"MBR-C5.0 x EBR-SVM",0.1,0,0.9
"MBR-C5.0 x ECC-SVM",0.07,0,0.93
"MBR-C5.0 x MBR-SVM",0,0,1
"MBR-C5.0 x NS-SVM",0,0,1
"MBR-C5.0 x PruDent-SVM",0,0,1
"MBR-C5.0 x RDBR-SVM",0,0,1
"MBR-C5.0 x BR-SVMt",0,0,1
"MBR-C5.0 x BR+-SVMt",0,0,1
"MBR-C5.0 x CC-SVMt",0,0,1
"MBR-C5.0 x DBR-SVMt",0,0,1
"MBR-C5.0 x EBR-SVMt",0.04,0,0.96
"MBR-C5.0 x ECC-SVMt",0.01,0,0.99
"MBR-C5.0 x MBR-SVMt",0,0,1
"MBR-C5.0 x NS-SVMt",0,0,1
"MBR-C5.0 x PruDent-SVMt",0,0,1
"MBR-C5.0 x RDBR-SVMt",0,0,1
"MBR-C5.0 x BR-XGB",0,0,1
"MBR-C5.0 x BR+-XGB",0,0,1
"MBR-C5.0 x CC-XGB",0,0,1
"MBR-C5.0 x DBR-XGB",0,0,1
"MBR-C5.0 x EBR-XGB",0.01,0,0.99
"MBR-C5.0 x ECC-XGB",0,0,1
"MBR-C5.0 x MBR-XGB",0,0,1
"MBR-C5.0 x NS-XGB",0,0,1
"MBR-C5.0 x PruDent-XGB",0,0,1
"MBR-C5.0 x RDBR-XGB",0,0,1
"NS-C5.0 x PruDent-C5.0",0.02,0.97,0
"NS-C5.0 x RDBR-C5.0",0.99,0,0.01
"NS-C5.0 x BR-LR",0,0,1
"NS-C5.0 x BR+-LR",0,0,1
"NS-C5.0 x CC-LR",0,0,1
"NS-C5.0 x DBR-LR",0,0,1
"NS-C5.0 x EBR-LR",0.19,0,0.81
"NS-C5.0 x ECC-LR",0.16,0,0.84
"NS-C5.0 x MBR-LR",0,0,1
"NS-C5.0 x NS-LR",0,0,1
"NS-C5.0 x PruDent-LR",0.03,0,0.97
"NS-C5.0 x RDBR-LR",0,0,1
"NS-C5.0 x BR-RF",0,0,1
"NS-C5.0 x BR+-RF",0,0,1
"NS-C5.0 x CC-RF",0,0,1
"NS-C5.0 x DBR-RF",0,0,1
"NS-C5.0 x EBR-RF",0.63,0,0.37
"NS-C5.0 x ECC-RF",0.58,0,0.42
"NS-C5.0 x MBR-RF",0,0,1
"NS-C5.0 x NS-RF",0,0,1
"NS-C5.0 x PruDent-RF",0,0,1
"NS-C5.0 x RDBR-RF",0,0,1
"NS-C5.0 x BR-SVM",0,0,1
"NS-C5.0 x BR+-SVM",0,0,1
"NS-C5.0 x CC-SVM",0,0,1
"NS-C5.0 x DBR-SVM",0,0,1
"NS-C5.0 x EBR-SVM",0.3,0,0.7
"NS-C5.0 x ECC-SVM",0.23,0,0.77
"NS-C5.0 x MBR-SVM",0,0,1
"NS-C5.0 x NS-SVM",0,0,1
"NS-C5.0 x PruDent-SVM",0,0,1
"NS-C5.0 x RDBR-SVM",0,0,1
"NS-C5.0 x BR-SVMt",0,0,1
"NS-C5.0 x BR+-SVMt",0,0,1
"NS-C5.0 x CC-SVMt",0,0,1
"NS-C5.0 x DBR-SVMt",0,0,1
"NS-C5.0 x EBR-SVMt",0.14,0,0.86
"NS-C5.0 x ECC-SVMt",0.07,0,0.93
"NS-C5.0 x MBR-SVMt",0,0,1
"NS-C5.0 x NS-SVMt",0,0,1
"NS-C5.0 x PruDent-SVMt",0,0,1
"NS-C5.0 x RDBR-SVMt",0,0,1
"NS-C5.0 x BR-XGB",0,0,1
"NS-C5.0 x BR+-XGB",0,0,1
"NS-C5.0 x CC-XGB",0,0,1
"NS-C5.0 x DBR-XGB",0,0,1
"NS-C5.0 x EBR-XGB",0.03,0,0.97
"NS-C5.0 x ECC-XGB",0.02,0,0.98
"NS-C5.0 x MBR-XGB",0,0,1
"NS-C5.0 x NS-XGB",0,0,1
"NS-C5.0 x PruDent-XGB",0,0,1
"NS-C5.0 x RDBR-XGB",0,0,1
"PruDent-C5.0 x RDBR-C5.0",0.97,0.03,0
"PruDent-C5.0 x BR-LR",0,0,1
"PruDent-C5.0 x BR+-LR",0,0,1
"PruDent-C5.0 x CC-LR",0,0,1
"PruDent-C5.0 x DBR-LR",0,0,1
"PruDent-C5.0 x EBR-LR",0.13,0,0.87
"PruDent-C5.0 x ECC-LR",0.1,0,0.9
"PruDent-C5.0 x MBR-LR",0,0,1
"PruDent-C5.0 x NS-LR",0,0,1
"PruDent-C5.0 x PruDent-LR",0.01,0,0.99
"PruDent-C5.0 x RDBR-LR",0,0,1
"PruDent-C5.0 x BR-RF",0,0,1
"PruDent-C5.0 x BR+-RF",0,0,1
"PruDent-C5.0 x CC-RF",0,0,1
"PruDent-C5.0 x DBR-RF",0,0,1
"PruDent-C5.0 x EBR-RF",0.6,0,0.4
"PruDent-C5.0 x ECC-RF",0.55,0,0.45
"PruDent-C5.0 x MBR-RF",0,0,1
"PruDent-C5.0 x NS-RF",0,0,1
"PruDent-C5.0 x PruDent-RF",0,0,1
"PruDent-C5.0 x RDBR-RF",0,0,1
"PruDent-C5.0 x BR-SVM",0,0,1
"PruDent-C5.0 x BR+-SVM",0,0,1
"PruDent-C5.0 x CC-SVM",0,0,1
"PruDent-C5.0 x DBR-SVM",0,0,1
"PruDent-C5.0 x EBR-SVM",0.19,0,0.81
"PruDent-C5.0 x ECC-SVM",0.15,0,0.85
"PruDent-C5.0 x MBR-SVM",0,0,1
"PruDent-C5.0 x NS-SVM",0,0,1
"PruDent-C5.0 x PruDent-SVM",0,0,1
"PruDent-C5.0 x RDBR-SVM",0,0,1
"PruDent-C5.0 x BR-SVMt",0,0,1
"PruDent-C5.0 x BR+-SVMt",0,0,1
"PruDent-C5.0 x CC-SVMt",0,0,1
"PruDent-C5.0 x DBR-SVMt",0,0,1
"PruDent-C5.0 x EBR-SVMt",0.06,0,0.94
"PruDent-C5.0 x ECC-SVMt",0.02,0,0.98
"PruDent-C5.0 x MBR-SVMt",0,0,1
"PruDent-C5.0 x NS-SVMt",0,0,1
"PruDent-C5.0 x PruDent-SVMt",0,0,1
"PruDent-C5.0 x RDBR-SVMt",0,0,1
"PruDent-C5.0 x BR-XGB",0,0,1
"PruDent-C5.0 x BR+-XGB",0,0,1
"PruDent-C5.0 x CC-XGB",0,0,1
"PruDent-C5.0 x DBR-XGB",0,0,1
"PruDent-C5.0 x EBR-XGB",0.01,0,0.99
"PruDent-C5.0 x ECC-XGB",0,0,1
"PruDent-C5.0 x MBR-XGB",0,0,1
"PruDent-C5.0 x NS-XGB",0,0,1
"PruDent-C5.0 x PruDent-XGB",0,0,1
"PruDent-C5.0 x RDBR-XGB",0,0,1
"RDBR-C5.0 x BR-LR",0,0,1
"RDBR-C5.0 x BR+-LR",0,0,1
"RDBR-C5.0 x CC-LR",0,0,1
"RDBR-C5.0 x DBR-LR",0,0,1
"RDBR-C5.0 x EBR-LR",0.03,0,0.97
"RDBR-C5.0 x ECC-LR",0.02,0,0.98
"RDBR-C5.0 x MBR-LR",0,0,1
"RDBR-C5.0 x NS-LR",0,0,1
"RDBR-C5.0 x PruDent-LR",0,0,1
"RDBR-C5.0 x RDBR-LR",0,0,1
"RDBR-C5.0 x BR-RF",0,0,1
