"Strategies","left","rope","right"
"BR-RF x ECC-RF",0,0,1
"BR-RF x ECC-SVM",0,0,1
"BR-RF x ECC-SVMt",0,0,1
"BR-RF x ECC-XGB",0,0,1
"BR-RF x MBR-RF",0,1,0
"BR-RF x MBR-SVM",0.02,0,0.98
"BR-RF x MBR-SVMt",0.07,0,0.93
"BR-RF x MBR-XGB",0,0,1
"BR-RF x NS-RF",0,0.94,0.06
"BR-RF x NS-SVM",0.01,0,0.99
"BR-RF x NS-SVMt",0.04,0,0.96
"BR-RF x NS-XGB",0,0,1
"BR-RF x PruDent-RF",0,1,0
"BR-RF x PruDent-SVM",0.02,0,0.98
"BR-RF x PruDent-SVMt",0.04,0,0.96
"BR-RF x PruDent-XGB",0,0,1
"BR-RF x RDBR-RF",0,0.99,0.01
"BR-RF x RDBR-SVM",0,0,1
"BR-RF x RDBR-SVMt",0,0,1
"BR-RF x RDBR-XGB",0,0,1
"BR-SVM x BR-SVMt",0.01,0.94,0.05
"BR-SVM x BR-XGB",0.01,0.01,0.97
"BR-SVM x BR+-SVM",0.01,0.56,0.43
"BR-SVM x BR+-SVMt",0.04,0,0.95
"BR-SVM x BR+-XGB",0.02,0,0.98
"BR-SVM x CC-SVM",0,0.69,0.31
"BR-SVM x CC-SVMt",0.06,0.02,0.92
"BR-SVM x CC-XGB",0.08,0,0.92
"BR-SVM x DBR-SVM",0,0.87,0.13
"BR-SVM x DBR-SVMt",0.04,0,0.96
"BR-SVM x DBR-XGB",0.03,0,0.97
"BR-SVM x EBR-SVM",0,0,1
"BR-SVM x EBR-SVMt",0,0,1
"BR-SVM x EBR-XGB",0,0,1
"BR-SVM x ECC-SVM",0,0,1
"BR-SVM x ECC-SVMt",0,0,1
"BR-SVM x ECC-XGB",0,0,1
"BR-SVM x MBR-SVM",0,1,0
"BR-SVM x MBR-SVMt",0.03,0.29,0.69
"BR-SVM x MBR-XGB",0.02,0.01,0.97
"BR-SVM x NS-SVM",0.02,0.94,0.05
"BR-SVM x NS-SVMt",0.19,0,0.8
"BR-SVM x NS-XGB",0.09,0,0.91
"BR-SVM x PruDent-SVM",0,1,0
"BR-SVM x PruDent-SVMt",0.09,0.48,0.43
"BR-SVM x PruDent-XGB",0.01,0,0.99
"BR-SVM x RDBR-SVM",0,0.55,0.45
"BR-SVM x RDBR-SVMt",0.04,0,0.96
"BR-SVM x RDBR-XGB",0.02,0,0.97
"BR-SVMt x BR-XGB",0.04,0.02,0.94
"BR-SVMt x BR+-SVMt",0.01,0.01,0.97
"BR-SVMt x BR+-XGB",0.02,0,0.98
"BR-SVMt x CC-SVMt",0.01,0.15,0.84
"BR-SVMt x CC-XGB",0.03,0,0.97
"BR-SVMt x DBR-SVMt",0,0,0.99
"BR-SVMt x DBR-XGB",0.02,0,0.98
"BR-SVMt x EBR-SVMt",0,0,1
"BR-SVMt x EBR-XGB",0,0,1
"BR-SVMt x ECC-SVMt",0,0,1
"BR-SVMt x ECC-XGB",0,0,1
"BR-SVMt x MBR-SVMt",0.01,0.67,0.32
"BR-SVMt x MBR-XGB",0.03,0.02,0.95
"BR-SVMt x NS-SVMt",0.15,0.04,0.82
"BR-SVMt x NS-XGB",0.07,0,0.92
"BR-SVMt x PruDent-SVMt",0,1,0
"BR-SVMt x PruDent-XGB",0.03,0.02,0.95
"BR-SVMt x RDBR-SVMt",0.02,0.01,0.97
"BR-SVMt x RDBR-XGB",0.02,0,0.98
"BR-XGB x BR+-XGB",0.07,0.79,0.15
"BR-XGB x CC-XGB",0.13,0.81,0.05
"BR-XGB x DBR-XGB",0.02,0.82,0.16
"BR-XGB x EBR-XGB",0,0,1
"BR-XGB x ECC-XGB",0,0,1
"BR-XGB x MBR-XGB",0,1,0
"BR-XGB x NS-XGB",0.53,0.39,0.08
"BR-XGB x PruDent-XGB",0,1,0
"BR-XGB x RDBR-XGB",0.03,0.89,0.08
"BR+-C5.0 x BR-LR",0.06,0,0.94
"BR+-C5.0 x BR-RF",0.39,0,0.61
"BR+-C5.0 x BR-SVM",0.05,0,0.95
"BR+-C5.0 x BR-SVMt",0.14,0,0.86
"BR+-C5.0 x BR-XGB",0,0,1
"BR+-C5.0 x BR+-LR",0.01,0,0.99
"BR+-C5.0 x BR+-RF",0.34,0,0.66
"BR+-C5.0 x BR+-SVM",0.01,0,0.99
"BR+-C5.0 x BR+-SVMt",0.02,0,0.98
"BR+-C5.0 x BR+-XGB",0,0,1
"BR+-C5.0 x CC-C5.0",0,1,0
"BR+-C5.0 x CC-LR",0.02,0,0.98
"BR+-C5.0 x CC-RF",0.35,0,0.65
"BR+-C5.0 x CC-SVM",0.02,0,0.98
"BR+-C5.0 x CC-SVMt",0.04,0,0.96
"BR+-C5.0 x CC-XGB",0,0,1
"BR+-C5.0 x DBR-C5.0",0,1,0
"BR+-C5.0 x DBR-LR",0.01,0,0.99
"BR+-C5.0 x DBR-RF",0.33,0,0.67
"BR+-C5.0 x DBR-SVM",0.01,0,0.99
"BR+-C5.0 x DBR-SVMt",0.02,0,0.98
"BR+-C5.0 x DBR-XGB",0,0,1
"BR+-C5.0 x EBR-C5.0",0,0,1
"BR+-C5.0 x EBR-LR",0,0,1
"BR+-C5.0 x EBR-RF",0,0,1
"BR+-C5.0 x EBR-SVM",0,0,1
"BR+-C5.0 x EBR-SVMt",0,0,1
"BR+-C5.0 x EBR-XGB",0,0,1
"BR+-C5.0 x ECC-C5.0",0,0,1
"BR+-C5.0 x ECC-LR",0,0,1
"BR+-C5.0 x ECC-RF",0,0,1
"BR+-C5.0 x ECC-SVM",0,0,1
"BR+-C5.0 x ECC-SVMt",0,0,1
"BR+-C5.0 x ECC-XGB",0,0,1
"BR+-C5.0 x MBR-C5.0",0.03,0.1,0.87
"BR+-C5.0 x MBR-LR",0.02,0,0.98
"BR+-C5.0 x MBR-RF",0.37,0,0.63
"BR+-C5.0 x MBR-SVM",0.03,0,0.97
"BR+-C5.0 x MBR-SVMt",0.07,0,0.93
"BR+-C5.0 x MBR-XGB",0,0,1
"BR+-C5.0 x NS-C5.0",0.39,0.59,0.02
"BR+-C5.0 x NS-LR",0.05,0,0.95
"BR+-C5.0 x NS-RF",0.28,0,0.72
"BR+-C5.0 x NS-SVM",0.04,0,0.96
"BR+-C5.0 x NS-SVMt",0.07,0,0.93
"BR+-C5.0 x NS-XGB",0,0,1
"BR+-C5.0 x PruDent-C5.0",0.45,0.23,0.32
"BR+-C5.0 x PruDent-LR",0.03,0,0.97
"BR+-C5.0 x PruDent-RF",0.37,0,0.63
"BR+-C5.0 x PruDent-SVM",0.04,0,0.96
"BR+-C5.0 x PruDent-SVMt",0.11,0,0.89
"BR+-C5.0 x PruDent-XGB",0,0,1
"BR+-C5.0 x RDBR-C5.0",0,1,0
"BR+-C5.0 x RDBR-LR",0.01,0,0.99
"BR+-C5.0 x RDBR-RF",0.35,0,0.65
"BR+-C5.0 x RDBR-SVM",0.01,0,0.99
"BR+-C5.0 x RDBR-SVMt",0.01,0,0.99
"BR+-C5.0 x RDBR-XGB",0,0,1
"BR+-LR x BR-RF",1,0,0
"BR+-LR x BR-SVM",0.56,0.43,0.01
"BR+-LR x BR-SVMt",0.7,0.14,0.17
"BR+-LR x BR-XGB",0.11,0,0.89
"BR+-LR x BR+-RF",1,0,0
"BR+-LR x BR+-SVM",0,1,0
"BR+-LR x BR+-SVMt",0.14,0.11,0.75
"BR+-LR x BR+-XGB",0.09,0,0.91
"BR+-LR x CC-LR",0.01,0.99,0
"BR+-LR x CC-RF",1,0,0
"BR+-LR x CC-SVM",0.02,0.97,0
"BR+-LR x CC-SVMt",0.34,0.08,0.58
"BR+-LR x CC-XGB",0.29,0,0.71
"BR+-LR x DBR-LR",0,1,0
"BR+-LR x DBR-RF",1,0,0
"BR+-LR x DBR-SVM",0,1,0
"BR+-LR x DBR-SVMt",0.15,0.15,0.7
"BR+-LR x DBR-XGB",0.08,0,0.92
"BR+-LR x EBR-LR",0.09,0,0.91
"BR+-LR x EBR-RF",0.2,0,0.8
"BR+-LR x EBR-SVM",0,0,1
"BR+-LR x EBR-SVMt",0,0,1
"BR+-LR x EBR-XGB",0,0,1
"BR+-LR x ECC-LR",0.05,0,0.95
"BR+-LR x ECC-RF",0.14,0,0.86
"BR+-LR x ECC-SVM",0,0,1
"BR+-LR x ECC-SVMt",0.01,0,0.99
"BR+-LR x ECC-XGB",0,0,1
"BR+-LR x MBR-LR",0.5,0.3,0.21
"BR+-LR x MBR-RF",1,0,0
"BR+-LR x MBR-SVM",0.41,0.52,0.07
