"Strategies","left","rope","right"
"BR-SVMt x ECC-SVMt",0.99,0,0.01
"BR-SVMt x ECC-XGB",0.52,0.05,0.42
"BR-SVMt x MBR-SVMt",0,1,0
"BR-SVMt x MBR-XGB",0.28,0.64,0.08
"BR-SVMt x NS-SVMt",0.01,0.34,0.66
"BR-SVMt x NS-XGB",0.04,0.34,0.62
"BR-SVMt x PruDent-SVMt",0,1,0
"BR-SVMt x PruDent-XGB",0.05,0.93,0.02
"BR-SVMt x RDBR-SVMt",0,0.14,0.86
"BR-SVMt x RDBR-XGB",0,0.4,0.6
"BR-XGB x BR+-XGB",0,0.06,0.94
"BR-XGB x CC-XGB",0.08,0.1,0.82
"BR-XGB x DBR-XGB",0,0.7,0.3
"BR-XGB x EBR-XGB",0.93,0.05,0.02
"BR-XGB x ECC-XGB",0.76,0,0.24
"BR-XGB x MBR-XGB",0,1,0
"BR-XGB x NS-XGB",0,0.18,0.81
"BR-XGB x PruDent-XGB",0,1,0
"BR-XGB x RDBR-XGB",0,0.01,0.99
"BR+-C5.0 x BR-LR",0.01,0,0.99
"BR+-C5.0 x BR-RF",0,0,1
"BR+-C5.0 x BR-SVM",0.01,0,0.99
"BR+-C5.0 x BR-SVMt",0.01,0,0.99
"BR+-C5.0 x BR-XGB",0,0,1
"BR+-C5.0 x BR+-LR",0,0,1
"BR+-C5.0 x BR+-RF",0,0,1
"BR+-C5.0 x BR+-SVM",0,0,1
"BR+-C5.0 x BR+-SVMt",0,0,1
"BR+-C5.0 x BR+-XGB",0,0,1
"BR+-C5.0 x CC-C5.0",0,1,0
"BR+-C5.0 x CC-LR",0,0,1
"BR+-C5.0 x CC-RF",0,0,1
"BR+-C5.0 x CC-SVM",0,0,1
"BR+-C5.0 x CC-SVMt",0,0,1
"BR+-C5.0 x CC-XGB",0,0,1
"BR+-C5.0 x DBR-C5.0",0.84,0.16,0
"BR+-C5.0 x DBR-LR",0,0,1
"BR+-C5.0 x DBR-RF",0,0,1
"BR+-C5.0 x DBR-SVM",0,0,1
"BR+-C5.0 x DBR-SVMt",0,0,1
"BR+-C5.0 x DBR-XGB",0,0,1
"BR+-C5.0 x EBR-C5.0",0.07,0,0.93
"BR+-C5.0 x EBR-LR",0.29,0,0.71
"BR+-C5.0 x EBR-RF",0.01,0,0.99
"BR+-C5.0 x EBR-SVM",0.09,0,0.91
"BR+-C5.0 x EBR-SVMt",0.07,0,0.93
"BR+-C5.0 x EBR-XGB",0,0,1
"BR+-C5.0 x ECC-C5.0",0.01,0,0.99
"BR+-C5.0 x ECC-LR",0.23,0,0.77
"BR+-C5.0 x ECC-RF",0.01,0,0.99
"BR+-C5.0 x ECC-SVM",0.04,0,0.96
"BR+-C5.0 x ECC-SVMt",0.05,0,0.95
"BR+-C5.0 x ECC-XGB",0,0,1
"BR+-C5.0 x MBR-C5.0",0.93,0.07,0
"BR+-C5.0 x MBR-LR",0.01,0,0.99
"BR+-C5.0 x MBR-RF",0,0,1
"BR+-C5.0 x MBR-SVM",0,0,1
"BR+-C5.0 x MBR-SVMt",0.02,0,0.98
"BR+-C5.0 x MBR-XGB",0,0,1
"BR+-C5.0 x NS-C5.0",0.07,0.76,0.17
"BR+-C5.0 x NS-LR",0,0,1
"BR+-C5.0 x NS-RF",0,0,1
"BR+-C5.0 x NS-SVM",0,0,1
"BR+-C5.0 x NS-SVMt",0.01,0,0.99
"BR+-C5.0 x NS-XGB",0,0,1
"BR+-C5.0 x PruDent-C5.0",0.6,0.4,0
"BR+-C5.0 x PruDent-LR",0,0,1
"BR+-C5.0 x PruDent-RF",0,0,1
"BR+-C5.0 x PruDent-SVM",0,0,1
"BR+-C5.0 x PruDent-SVMt",0,0,1
"BR+-C5.0 x PruDent-XGB",0,0,1
"BR+-C5.0 x RDBR-C5.0",0,1,0
"BR+-C5.0 x RDBR-LR",0,0,1
"BR+-C5.0 x RDBR-RF",0,0,1
"BR+-C5.0 x RDBR-SVM",0,0,1
"BR+-C5.0 x RDBR-SVMt",0,0,1
"BR+-C5.0 x RDBR-XGB",0,0,1
"BR+-LR x BR-RF",0.32,0.01,0.67
"BR+-LR x BR-SVM",0.31,0.69,0
"BR+-LR x BR-SVMt",0.36,0.62,0.02
"BR+-LR x BR-XGB",0.66,0.11,0.24
"BR+-LR x BR+-RF",0.2,0.02,0.78
"BR+-LR x BR+-SVM",0,1,0
"BR+-LR x BR+-SVMt",0.01,0.97,0.02
"BR+-LR x BR+-XGB",0.19,0.1,0.71
"BR+-LR x CC-LR",0,1,0
"BR+-LR x CC-RF",0.27,0.03,0.71
"BR+-LR x CC-SVM",0,1,0
"BR+-LR x CC-SVMt",0.07,0.88,0.05
"BR+-LR x CC-XGB",0.47,0.01,0.52
"BR+-LR x DBR-LR",0,1,0
"BR+-LR x DBR-RF",0.21,0,0.78
"BR+-LR x DBR-SVM",0,1,0
"BR+-LR x DBR-SVMt",0.13,0.84,0.03
"BR+-LR x DBR-XGB",0.31,0.08,0.61
"BR+-LR x EBR-LR",1,0,0
"BR+-LR x EBR-RF",0.99,0,0.01
"BR+-LR x EBR-SVM",1,0,0
"BR+-LR x EBR-SVMt",0.99,0,0.01
"BR+-LR x EBR-XGB",0.92,0,0.07
"BR+-LR x ECC-LR",1,0,0
"BR+-LR x ECC-RF",0.95,0,0.05
"BR+-LR x ECC-SVM",1,0,0
"BR+-LR x ECC-SVMt",0.99,0,0.01
"BR+-LR x ECC-XGB",0.77,0,0.23
"BR+-LR x MBR-LR",0.29,0.71,0
"BR+-LR x MBR-RF",0.28,0.01,0.72
"BR+-LR x MBR-SVM",0.22,0.78,0
"BR+-LR x MBR-SVMt",0.27,0.72,0.02
"BR+-LR x MBR-XGB",0.64,0.08,0.29
"BR+-LR x NS-LR",0,1,0
"BR+-LR x NS-RF",0.19,0.01,0.8
"BR+-LR x NS-SVM",0,1,0
"BR+-LR x NS-SVMt",0.1,0.59,0.31
"BR+-LR x NS-XGB",0.35,0.1,0.55
"BR+-LR x PruDent-LR",0.14,0.86,0
"BR+-LR x PruDent-RF",0.26,0.01,0.73
