"Strategies","left","rope","right"
"BR-RF x BR+-RF",0.02,0.98,0
"BR-RF x BR+-SVM",0.92,0.02,0.06
"BR-RF x BR+-SVMt",0.98,0,0.02
"BR-RF x BR+-XGB",1,0,0
"BR-RF x CC-RF",0,1,0
"BR-RF x CC-SVM",0.95,0,0.04
"BR-RF x CC-SVMt",0.92,0.01,0.07
"BR-RF x CC-XGB",1,0,0
"BR-RF x DBR-RF",0,1,0
"BR-RF x DBR-SVM",0.93,0.01,0.05
"BR-RF x DBR-SVMt",0.98,0,0.02
"BR-RF x DBR-XGB",0.99,0,0.01
"BR-RF x EBR-RF",1,0,0
"BR-RF x EBR-SVM",1,0,0
"BR-RF x EBR-SVMt",1,0,0
"BR-RF x EBR-XGB",1,0,0
"BR-RF x ECC-RF",1,0,0
"BR-RF x ECC-SVM",1,0,0
"BR-RF x ECC-SVMt",1,0,0
"BR-RF x ECC-XGB",1,0,0
"BR-RF x MBR-RF",0,1,0
"BR-RF x MBR-SVM",0.77,0.04,0.18
"BR-RF x MBR-SVMt",0.92,0,0.08
"BR-RF x MBR-XGB",0.97,0,0.03
"BR-RF x NS-RF",0.01,0.99,0
"BR-RF x NS-SVM",0.93,0.01,0.07
"BR-RF x NS-SVMt",0.95,0,0.04
"BR-RF x NS-XGB",0.99,0,0.01
"BR-RF x PruDent-RF",0,1,0
"BR-RF x PruDent-SVM",0.8,0.01,0.19
"BR-RF x PruDent-SVMt",0.42,0.07,0.5
"BR-RF x PruDent-XGB",0.98,0,0.02
"BR-RF x RDBR-RF",0.04,0.96,0
"BR-RF x RDBR-SVM",0.96,0.01,0.03
"BR-RF x RDBR-SVMt",0.95,0,0.05
"BR-RF x RDBR-XGB",1,0,0
"BR-SVM x BR-SVMt",0.03,0.94,0.03
"BR-SVM x BR-XGB",0.78,0.04,0.18
"BR-SVM x BR+-SVM",0.03,0.97,0
"BR-SVM x BR+-SVMt",0.92,0.03,0.06
"BR-SVM x BR+-XGB",0.93,0.01,0.06
"BR-SVM x CC-SVM",0,1,0
"BR-SVM x CC-SVMt",0.72,0.13,0.15
"BR-SVM x CC-XGB",0.95,0,0.05
"BR-SVM x DBR-SVM",0.01,0.98,0
"BR-SVM x DBR-SVMt",0.88,0.03,0.09
"BR-SVM x DBR-XGB",0.86,0,0.14
"BR-SVM x EBR-SVM",1,0,0
"BR-SVM x EBR-SVMt",0.98,0,0.02
"BR-SVM x EBR-XGB",0.97,0,0.03
"BR-SVM x ECC-SVM",1,0,0
"BR-SVM x ECC-SVMt",0.98,0,0.02
"BR-SVM x ECC-XGB",0.99,0,0.01
"BR-SVM x MBR-SVM",0,1,0
"BR-SVM x MBR-SVMt",0.69,0.24,0.07
"BR-SVM x MBR-XGB",0.8,0.03,0.17
