"Strategy","1","2","3","4","5","6","7","8","9","10"
"DBR-LR",0.1856,0.2474,0.2268,0.1753,0.1134,0.1753,0.15,0.2021,0.1959,0.1959
"EBR-LR",0.1031,0.2371,0.1959,0.1649,0.1134,0.134,0.2,0.1064,0.1031,0.1443
"ECC-LR",0.1753,0.1753,0.1649,0.134,0.134,0.2062,0.16,0.1915,0.1649,0.1546
"MBR-LR",0.1856,0.2165,0.2165,0.134,0.134,0.1856,0.19,0.2021,0.134,0.1959
"NS-LR",0.1959,0.2268,0.2165,0.1649,0.1649,0.2062,0.21,0.1489,0.1443,0.1753
"PruDent-LR",0.1959,0.2371,0.2165,0.1443,0.1546,0.1959,0.22,0.1596,0.134,0.2165
"RDBR-LR",0.2268,0.2577,0.1959,0.1856,0.2268,0.1959,0.18,0.1702,0.1546,0.2165
"BR-RF",0.2165,0.268,0.2165,0.1443,0.2062,0.2165,0.21,0.1915,0.2062,0.2371
"BR+-RF",0.268,0.2887,0.2474,0.2268,0.2062,0.2371,0.25,0.2447,0.2371,0.2165
"CC-RF",0.2577,0.2784,0.2268,0.1546,0.2062,0.2165,0.22,0.234,0.2268,0.2474
"DBR-RF",0.2577,0.299,0.2474,0.2165,0.2062,0.2268,0.25,0.234,0.2268,0.2165
"EBR-RF",0.1959,0.2371,0.2165,0.1649,0.2062,0.2165,0.19,0.1702,0.2268,0.2165
"ECC-RF",0.2371,0.2268,0.2165,0.1959,0.2474,0.2371,0.18,0.1809,0.2371,0.2165
"MBR-RF",0.2371,0.268,0.2268,0.1753,0.2062,0.2165,0.2,0.2021,0.2268,0.2371
"NS-RF",0.2474,0.2784,0.2268,0.1649,0.1959,0.2165,0.22,0.234,0.2062,0.2474
"PruDent-RF",0.2371,0.268,0.2062,0.1546,0.2062,0.1959,0.23,0.2128,0.2165,0.2165
"RDBR-RF",0.2784,0.2887,0.2577,0.2577,0.2371,0.2371,0.24,0.2553,0.2371,0.2165
"BR-SVM",0.1546,0.2371,0.1959,0.1443,0.1649,0.1856,0.22,0.1596,0.1649,0.1959
"BR+-SVM",0.1546,0.2062,0.2268,0.1959,0.1856,0.1959,0.2,0.1809,0.2062,0.1856
"CC-SVM",0.134,0.2165,0.2165,0.1753,0.2165,0.2062,0.23,0.1809,0.1959,0.1959
"DBR-SVM",0.1443,0.2268,0.2268,0.1959,0.1856,0.1856,0.19,0.1809,0.1959,0.1856
