"Strategy","1","2","3","4","5","6","7","8","9","10"
"PruDent-SVM",0.1287,0.1089,0.1287,0.1683,0.1089,0.1188,0.1287,0.1188,0.1188,0.1386
"RDBR-SVM",0.1089,0.099,0.1188,0.1485,0.1287,0.099,0.1089,0.099,0.099,0.1188
"BR-SVMt",0.0495,0.0495,0.0495,0.0792,0.0792,0.0495,0.0396,0.0495,0.0396,0.0594
"BR+-SVMt",0.0099,0.0297,0.0297,0.0297,0.0297,0.0297,0.0198,0.0198,0.0099,0.0297
"CC-SVMt",0.0297,0.0396,0.0198,0.0396,0.0396,0.0297,0.0297,0.0396,0.0099,0.0495
"DBR-SVMt",0.0198,0.0198,0.0198,0.0099,0.0297,0.0297,0.0198,0.0198,0.0099,0.0297
"EBR-SVMt",0,0,0.0198,0.0099,0.0099,0,0.0297,0,0.0198,0.0198
"ECC-SVMt",0.0099,0.0297,0.0297,0.0396,0.0297,0,0.0099,0.0099,0.0297,0.0198
"MBR-SVMt",0.0297,0.0297,0.0198,0.0198,0.0198,0.0099,0.0198,0.0297,0.0099,0.0198
"NS-SVMt",0.0198,0.0297,0.0396,0.0198,0.0198,0.0297,0.0099,0.0396,0.0099,0.0495
"PruDent-SVMt",0.0693,0.0594,0.0594,0.0792,0.0792,0.0396,0.0297,0.0792,0.0495,0.0594
"RDBR-SVMt",0.0099,0.0297,0.0198,0.0099,0.0198,0.0198,0.0099,0.0198,0.0099,0.0297
"BR-XGB",0.1386,0.1188,0.0891,0.0891,0.1188,0.1188,0.1089,0.1188,0.1089,0.0891
"BR+-XGB",0.1683,0.1188,0.1287,0.1287,0.1584,0.1287,0.1188,0.099,0.1287,0.1287
"CC-XGB",0.1782,0.1386,0.1386,0.1188,0.1485,0.1386,0.1287,0.1485,0.1485,0.1287
"DBR-XGB",0.1683,0.1188,0.1287,0.1287,0.1584,0.1287,0.1188,0.0891,0.1287,0.1188
"EBR-XGB",0.0594,0.0495,0.0297,0.0495,0.0396,0.0495,0.0495,0.0396,0.0396,0.0693
"ECC-XGB",0.1287,0.099,0.099,0.1089,0.0792,0.0891,0.1089,0.1089,0.1287,0.1089
"MBR-XGB",0.1584,0.1188,0.099,0.1089,0.1485,0.1386,0.1287,0.1287,0.1287,0.1089
"NS-XGB",0.1683,0.1386,0.1089,0.1485,0.1485,0.1386,0.1584,0.1089,0.1287,0.1485
"PruDent-XGB",0.1386,0.1089,0.0891,0.0891,0.1188,0.1188,0.1089,0.1188,0.1089,0.0891
"RDBR-XGB",0.1485,0.1683,0.1287,0.1485,0.1287,0.1188,0.1089,0.1287,0.1386,0.1386
