"Strategy","1","2","3","4","5","6","7","8","9","10"
"BR-XGB",0.6532,0.6705,0.6925,0.6918,0.6798,0.6879,0.6587,0.6862,0.6737,0.6908
"BR+-XGB",0.5675,0.5712,0.5984,0.5717,0.5642,0.5886,0.5715,0.6095,0.5579,0.5876
"CC-XGB",0.6137,0.6508,0.6356,0.6782,0.6549,0.649,0.6055,0.6505,0.6152,0.6524
"DBR-XGB",0.5627,0.5696,0.5936,0.566,0.5549,0.5848,0.5656,0.6049,0.552,0.588
"EBR-XGB",0.5585,0.601,0.5744,0.583,0.5642,0.5882,0.5753,0.6087,0.5711,0.5809
"ECC-XGB",0.6093,0.6461,0.6271,0.6312,0.6521,0.6388,0.5817,0.6105,0.5981,0.6307
"MBR-XGB",0.63,0.6716,0.678,0.6667,0.6562,0.6692,0.6402,0.6815,0.6561,0.6789
"NS-XGB",0.6238,0.6555,0.672,0.6656,0.6632,0.671,0.5719,0.6979,0.6388,0.6629
"PruDent-XGB",0.6595,0.6751,0.6978,0.6961,0.6835,0.6905,0.6615,0.6895,0.6762,0.6923
"RDBR-XGB",0.5736,0.6048,0.632,0.6072,0.6208,0.6382,0.5913,0.6074,0.5972,0.6172
