"Strategy","1","2","3","4","5","6","7","8","9","10"
"BR-XGB",0.0571,0.0597,0.0562,0.0535,0.0621,0.0576,0.058,0.059,0.0554,0.0581
"BR+-XGB",0.049,0.058,0.0565,0.0517,0.0582,0.0548,0.0568,0.0579,0.0557,0.0539
"CC-XGB",0.0585,0.0639,0.0552,0.0578,0.0668,0.0547,0.0583,0.0557,0.0612,0.0662
"DBR-XGB",0.0482,0.0581,0.0554,0.0516,0.0583,0.0548,0.0566,0.0571,0.0519,0.0542
"EBR-XGB",0.0769,0.0786,0.0783,0.0793,0.0835,0.0787,0.0784,0.0757,0.075,0.0758
"ECC-XGB",0.0719,0.0823,0.0743,0.0697,0.0815,0.0717,0.0737,0.0791,0.0756,0.0709
"MBR-XGB",0.0569,0.0641,0.0583,0.0578,0.0635,0.0618,0.0647,0.0575,0.0626,0.061
"NS-XGB",0.0519,0.0638,0.0599,0.0603,0.065,0.0623,0.0634,0.0619,0.0572,0.0589
"PruDent-XGB",0.0571,0.0602,0.0559,0.0529,0.0618,0.0573,0.057,0.0587,0.0546,0.0565
"RDBR-XGB",0.0502,0.0594,0.0489,0.0487,0.0555,0.0547,0.0546,0.05,0.0511,0.0513
