"Strategies","1","2","3","4","5","6","7","8","9","10"
"PruDent-RF",0.5789,0.5526,0.5526,0.5263,0.5789,0.5526,0.5789,0.5526,0.5263,0.5789
"PruDent-SVM",0.2895,0.3947,0.3158,0.3947,0.3684,0.3421,0.3947,0.4474,0.3158,0.4474
"PruDent-SVMt",0.2895,0.4211,0.3947,0.3684,0.4211,0.2895,0.4211,0.4211,0.3421,0.5263
"PruDent-XGB",0.0526,0.1053,0.0263,0,0.0526,0,0.0526,0.0263,0.0526,0.0263
"RDBR-C5.0",0.3421,0.3947,0.3158,0.3947,0.3947,0.3684,0.3158,0.3684,0.3947,0.3947
"RDBR-LR",0.3421,0.4211,0.4474,0.3684,0.3421,0.2895,0.3947,0.4211,0.2895,0.4211
"RDBR-RF",0.5526,0.5526,0.5789,0.5526,0.5789,0.5526,0.5526,0.5263,0.5526,0.5789
"RDBR-SVM",0.2895,0.3947,0.4474,0.3158,0.3421,0.3158,0.3684,0.4211,0.3158,0.4211
"RDBR-SVMt",0.3158,0.3684,0.4211,0.3684,0.3421,0.3421,0.4211,0.4211,0.3421,0.3947
"RDBR-XGB",0.0789,0.0526,0.0263,0,0.0526,0.0263,0.0526,0.0526,0.0789,0.0789
