"Strategies","1","2","3","4","5","6","7","8","9","10"
"PruDent-RF",0.3406,0.3453,0.3606,0.3561,0.3905,0.3882,0.3749,0.3834,0.3935,0.3631
"PruDent-SVM",0.2767,0.2406,0.2757,0.2841,0.2574,0.2911,0.2647,0.2743,0.2629,0.2747
"PruDent-SVMt",0.2654,0.3159,0.2744,0.2829,0.2397,0.3203,0.3064,0.2621,0.2555,0.304
"PruDent-XGB",0.3452,0.3721,0.369,0.3275,0.3715,0.3767,0.3915,0.3473,0.403,0.3787
"RDBR-C5.0",0.2489,0.242,0.2196,0.2419,0.2616,0.2526,0.2402,0.2519,0.2281,0.2122
"RDBR-LR",0.2653,0.2618,0.3131,0.3026,0.2707,0.2424,0.2954,0.2925,0.3185,0.2506
"RDBR-RF",0.3365,0.3702,0.3849,0.3702,0.3876,0.3969,0.3614,0.3768,0.4046,0.3799
"RDBR-SVM",0.3045,0.2817,0.3091,0.2936,0.2461,0.2851,0.2841,0.2912,0.3026,0.271
"RDBR-SVMt",0.2547,0.289,0.2943,0.3303,0.3223,0.3045,0.3046,0.303,0.2992,0.3155
"RDBR-XGB",0.3436,0.3575,0.3408,0.3383,0.339,0.3532,0.38,0.3459,0.3843,0.3693
